comment_id,username,comment_text
1,alice,I love the way you explained it!
2,bob,You're so dumb it's painful.
3,charlie,Canâ€™t wait to see the next one!
4,dana,This is garbage and so are you.
5,eli,Absolutely brilliant!
6,frank,Go back to your hole.
7,grace,Thanks for the feedback!
8,harry,No one cares what you think.
9,ivy,You're the best!
10,john,Why do you even exist?
11,kate,Appreciate your effort.
12,liam,Shut up already.
13,maya,"Great tutorial, thanks!"
14,nick,This is such trash lol
15,olivia,Nice work on the code!
16,peter,Stop posting this nonsense.
17,quinn,That's genuinely helpful!
18,rick,You're a total loser.
19,sara,Thanks for the help!
20,tom,Kill yourself.
21,uma,Much appreciated!
22,vin,Nobody likes you.
23,wade,This made my day!
24,xena,Dumbest thing I've ever seen.
25,yuri,You're amazing!
26,zara,Hope you die soon.
27,alex,So clear and well done!
28,ben,Shut your stupid mouth.
29,cara,Great job as always!
30,dan,You're such a joke.
31,emma,Loved your explanation.
32,felix,Useless idiot.
33,gina,Thanks again!
34,hank,Can't believe how pathetic you are.
35,iris,Very helpful!
36,jay,You disgust me.
37,kira,Looking forward to more!
38,leo,Piece of trash.
39,mila,Exactly what I needed!
40,nora,This was pointless.
41,owen,Appreciate it!
42,paula,You're worthless.
43,quentin,Awesome content!
44,rose,This is a nightmare to read.
45,sam,"Thanks, this helped a lot."
46,tina,No one wants to see your face.
47,ursula,Perfectly explained!
48,victor,This is cancerous.
49,wanda,Well done!
50,xavier,I hope you vanish from the internet.
